1387E;8002;A CORUÑA AEROPUERTO;A CORUÑA;431825N;082219W;98
1387;8001;A CORUÑA;A CORUÑA;432157N;082517W;58
1393;8006;CABO VILAN;A CORUÑA;430938N;091239W;50
1351;8004;ESTACA DE BARES;A CORUÑA;434710N;074105W;80
1400;8040;FISTERRA;A CORUÑA;425529N;091729W;230
1437O;8043;MONTE IROITE;A CORUÑA;424314N;085524W;685
1473A;8039;PADRÓN;A CORUÑA;424418N;083738W;100
1428;8042;SANTIAGO DE COMPOSTELA AEROPUERTO;A CORUÑA;425317N;082438W;370
1475X;8041;SANTIAGO DE COMPOSTELA;A CORUÑA;425234N;083321W;240
8175;8280;ALBACETE BASE AÉREA;ALBACETE;385715N;015123W;702
8178D;8279;ALBACETE;ALBACETE;390020N;015144W;676
8177A;8278;CHINCHILLA;ALBACETE;385609N;013936W;880
7096B;8355;HELLÍN;ALBACETE;383231N;014211W;646
8025;8359;ALICANTE/ALACANT;ALICANTE;382221N;002939W;81
8019;8360;ALICANTE-ELCHE AEROPUERTO;ALICANTE;381658N;003415W;43
8050X;8370;JÁVEA/ XÀBIA;ALICANTE;384701N;001004E;15
7247X;8357;PINOSO ;ALICANTE;382359N;010217W;575
6302A;8427;ABLA;ALMERIA;370829N;024647W;869
6277B;8486;ADRA;ALMERIA;364450N;030114W;8
6381;8490;ALBORÁN;ALMERIA;355618N;030210W;15
6325O;8487;ALMERÍA AEROPUERTO;ALMERIA;365047N;022125W;21
6297;;ALMERÍA;ALMERIA;364952N;022720W;7
6332X;8488;CARBONERAS;ALMERIA;365849N;015413W;16
6367B;8428;HUÉRCAL-OVERA;ALMERIA;372326N;015637W;300
6293X;8492;ROQUETAS DE MAR;ALMERIA;364113N;024206W;3
9091O;8080;FORONDA-TXOKIZA;ARABA/ALAVA;425255N;024406W;513
9087;;VITORIA AERÓDROMO;ARABA/ALAVA;425059N;023922W;521
9091R;8080;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;425219N;024358W;513
1212E;8011;ASTURIAS AEROPUERTO;ASTURIAS;433401N;060239W;127
1283U;8010;CABO BUSTO;ASTURIAS;433409N;062812W;60
1210X;8012;CABO PEÑAS;ASTURIAS;433921N;055055W;100
1331A;8009;CASTROPOL;ASTURIAS;433129N;070153W;40
