VALOR_MAX;VALOR_MIN         ;VALOR_MED       ;FECHA_MAX                       ;FECHA_MIN ;FECHA         
3,2 ;2,4               ;2,89            ;01/01/00                        ;01/01/00  ;2000-01-01 00:00
11  ;2,8               ;5,22            ;02/01/00                        ;02/01/00  ;2000-01-02 00:00
4,8 ;2,8               ;3,64            ;03/01/00                        ;03/01/00  ;2000-01-03 00:00
4   ;2                 ;2,96            ;04/01/00                        ;04/01/00  ;2000-01-04 00:00
3,6 ;2,4               ;2,93            ;05/01/00                        ;05/01/00  ;2000-01-05 00:00
3,6 ;2,8               ;2,85            ;06/01/00                        ;06/01/00  ;2000-01-06 00:00
26,5;2                 ;3,86            ;07/01/00                        ;07/01/00  ;2000-01-07 00:00
2,8 ;2,4               ;2,75            ;08/01/00                        ;08/01/00  ;2000-01-08 00:00
8,6 ;2,8               ;2,96            ;09/01/00                        ;09/01/00  ;2000-01-09 00:00
2,8 ;2,8               ;2,8             ;10/01/00                        ;10/01/00  ;2000-01-10 00:00
2,8 ;2,8               ;2,8             ;11/01/00                        ;11/01/00  ;2000-01-11 00:00
2,8 ;2,8               ;2,8             ;12/01/00                        ;12/01/00  ;2000-01-12 00:00
2,8 ;2,8               ;2,8             ;13/01/00                        ;13/01/00  ;2000-01-13 00:00
2,8 ;2,8               ;2,8             ;14/01/00                        ;14/01/00  ;2000-01-14 00:00
2,8 ;2,8               ;2,8             ;15/01/00                        ;15/01/00  ;2000-01-15 00:00
2,8 ;2,8               ;2,8             ;16/01/00                        ;16/01/00  ;2000-01-16 00:00
2,8 ;2,8               ;2,8             ;17/01/00                        ;17/01/00  ;2000-01-17 00:00
8   ;2,2               ;3,08            ;18/01/00                        ;18/01/00  ;2000-01-18 00:00
3,5 ;2,8               ;3,11            ;19/01/00                        ;19/01/00  ;2000-01-19 00:00
2,8 ;2,8               ;2,8             ;20/01/00                        ;20/01/00  ;2000-01-20 00:00
2,8 ;2,8               ;2,8             ;21/01/00                        ;21/01/00  ;2000-01-21 00:00
2,8 ;2,8               ;2,8             ;22/01/00                        ;22/01/00  ;2000-01-22 00:00
2,8 ;2,8               ;2,8             ;23/01/00                        ;23/01/00  ;2000-01-23 00:00
3,2 ;2,8               ;2,83            ;24/01/00                        ;24/01/00  ;2000-01-24 00:00
3,1 ;2,6               ;2,8             ;26/01/00                        ;25/01/00  ;2000-01-25 00:00
5   ;2,8               ;3,44            ;26/01/00                        ;26/01/00  ;2000-01-26 00:00
7,25;1,6               ;3,95            ;27/01/00                        ;27/01/00  ;2000-01-27 00:00
6   ;3,6               ;4,29            ;28/01/00                        ;28/01/00  ;2000-01-28 00:00
6,4 ;6                 ;6,23            ;29/01/00                        ;29/01/00  ;2000-01-29 00:00
6,4 ;5,3               ;5,97            ;30/01/00                        ;30/01/00  ;2000-01-30 00:00
7   ;2,1               ;4,55            ;31/01/00                        ;31/01/00  ;2000-01-31 00:00
6,9 ;3                 ;3,85            ;01/02/00                        ;01/02/00  ;2000-02-01 00:00
3,9 ;2,8               ;3,59            ;02/02/00                        ;02/02/00  ;2000-02-02 00:00
4,4 ;3,6               ;3,7             ;04/02/00                        ;03/02/00  ;2000-02-03 00:00
5,6 ;4                 ;4,45            ;04/02/00                        ;04/02/00  ;2000-02-04 00:00
4,8 ;3,4               ;4,2             ;05/02/00                        ;06/02/00  ;2000-02-05 00:00
3,6 ;3,2               ;3,46            ;06/02/00                        ;06/02/00  ;2000-02-06 00:00
3,6 ;3,6               ;3,6             ;07/02/00                        ;07/02/00  ;2000-02-07 00:00
3,6 ;3,6               ;3,6             ;08/02/00                        ;08/02/00  ;2000-02-08 00:00
17,6;3,6               ;12,01           ;09/02/00                        ;09/02/00  ;2000-02-09 00:00
17,6;17                ;17,41           ;10/02/00                        ;10/02/00  ;2000-02-10 00:00
17,75;5,2               ;10,34           ;11/02/00                        ;11/02/00  ;2000-02-11 00:00
7,7 ;5,3               ;6,52            ;12/02/00                        ;12/02/00  ;2000-02-12 00:00
6,7 ;5,3               ;6,11            ;13/02/00                        ;13/02/00  ;2000-02-13 00:00
6,8 ;5,8               ;6,35            ;14/02/00                        ;14/02/00  ;2000-02-14 00:00
28,05;3,6               ;10,56           ;15/02/00                        ;15/02/00  ;2000-02-15 00:00
12,2;3,6               ;7,36            ;16/02/00                        ;16/02/00  ;2000-02-16 00:00
52  ;6                 ;14,72           ;18/02/00                        ;17/02/00  ;2000-02-17 00:00
24,55;7,2               ;16,07           ;20/02/00                        ;20/02/00  ;2000-02-20 00:00
17  ;8,6               ;10,74           ;21/02/00                        ;21/02/00  ;2000-02-21 00:00
9,2 ;6,4               ;8,24            ;22/02/00                        ;22/02/00  ;2000-02-22 00:00
9,2 ;6,8               ;7,71            ;23/02/00                        ;23/02/00  ;2000-02-23 00:00
8,6 ;5,6               ;6,96            ;24/02/00                        ;24/02/00  ;2000-02-24 00:00
15,8;3,2               ;6,41            ;25/02/00                        ;25/02/00  ;2000-02-25 00:00
10,4;5,2               ;6,14            ;26/02/00                        ;26/02/00  ;2000-02-26 00:00
6,8 ;5,2               ;5,89            ;27/02/00                        ;27/02/00  ;2000-02-27 00:00
6,4 ;5,6               ;6,02            ;28/02/00                        ;28/02/00  ;2000-02-28 00:00
8   ;6                 ;6,25            ;29/02/00                        ;29/02/00  ;2000-02-29 00:00
18,8;4                 ;6,74            ;01/03/00                        ;01/03/00  ;2000-03-01 00:00
11  ;4,4               ;5,97            ;02/03/00                        ;02/03/00  ;2000-03-02 00:00
8   ;4,4               ;5,34            ;03/03/00                        ;03/03/00  ;2000-03-03 00:00
5,6 ;4,8               ;5,06            ;04/03/00                        ;04/03/00  ;2000-03-04 00:00
4,8 ;4,4               ;4,53            ;05/03/00                        ;05/03/00  ;2000-03-05 00:00
11  ;4,4               ;6,24            ;06/03/00                        ;06/03/00  ;2000-03-06 00:00
