VALOR_MAX;VALOR_MIN         ;VALOR_MED       ;FECHA_MAX                       ;FECHA_MIN ;FECHA         
91,9;83,5              ;88,97           ;09/03/00                        ;10/03/00  ;2000-03-09 00:00
87,7;77,2              ;82,62           ;10/03/00                        ;10/03/00  ;2000-03-10 00:00
83,5;75,1              ;79,23           ;11/03/00                        ;11/03/00  ;2000-03-11 00:00
77,2;56,8              ;67,72           ;12/03/00                        ;12/03/00  ;2000-03-12 00:00
71,2;60,4              ;67,86           ;13/03/00                        ;13/03/00  ;2000-03-13 00:00
77,2;56,8              ;68,36           ;14/03/00                        ;14/03/00  ;2000-03-14 00:00
67,6;48,2              ;59,57           ;15/03/00                        ;16/03/00  ;2000-03-15 00:00
55  ;46,5              ;50,92           ;16/03/00                        ;16/03/00  ;2000-03-16 00:00
58,6;48,2              ;52,29           ;17/03/00                        ;17/03/00  ;2000-03-17 00:00
46,5;39,7              ;43,33           ;18/03/00                        ;18/03/00  ;2000-03-18 00:00
46,5;39,7              ;42,87           ;19/03/00                        ;19/03/00  ;2000-03-19 00:00
46,5;43,1              ;44,96           ;20/03/00                        ;20/03/00  ;2000-03-20 00:00
56,8;44,8              ;50,6            ;21/03/00                        ;21/03/00  ;2000-03-21 00:00
44,8;38                ;41,49           ;22/03/00                        ;22/03/00  ;2000-03-22 00:00
46,5;38                ;40,96           ;23/03/00                        ;23/03/00  ;2000-03-23 00:00
51,6;43,1              ;47,17           ;24/03/00                        ;24/03/00  ;2000-03-24 00:00
71,2;43,1              ;54,45           ;25/03/00                        ;25/03/00  ;2000-03-25 00:00
83,5;43,1              ;71,3            ;26/03/00                        ;26/03/00  ;2000-03-26 00:00
89,8;67,6              ;80              ;27/03/00                        ;27/03/00  ;2000-03-27 00:00
69,4;64                ;66,72           ;28/03/00                        ;28/03/00  ;2000-03-28 00:00
87,7;75,1              ;81,55           ;24/05/00                        ;24/05/00  ;2000-05-24 00:00
75,1;62,2              ;68,88           ;25/05/00                        ;25/05/00  ;2000-05-25 00:00
67,6;60,4              ;64,15           ;26/05/00                        ;26/05/00  ;2000-05-26 00:00
64  ;56,8              ;60,31           ;27/05/00                        ;27/05/00  ;2000-05-27 00:00
71,2;60,4              ;65,03           ;28/05/00                        ;28/05/00  ;2000-05-28 00:00
71,2;64                ;67,81           ;29/05/00                        ;29/05/00  ;2000-05-29 00:00
83,5;49,9              ;65,7            ;30/05/00                        ;30/05/00  ;2000-05-30 00:00
56,8;51,6              ;53,86           ;31/05/00                        ;31/05/00  ;2000-05-31 00:00
62,2;48,2              ;51,69           ;01/06/00                        ;01/06/00  ;2000-06-01 00:00
51,6;46,5              ;49,85           ;02/06/00                        ;02/06/00  ;2000-06-02 00:00
62,2;51,6              ;56,33           ;03/06/00                        ;03/06/00  ;2000-06-03 00:00
64  ;56,8              ;60,61           ;04/06/00                        ;04/06/00  ;2000-06-04 00:00
69,4;60,4              ;66,08           ;05/06/00                        ;05/06/00  ;2000-06-05 00:00
89,8;71,2              ;81,96           ;06/06/00                        ;06/06/00  ;2000-06-06 00:00
87,7;71,2              ;76,06           ;11/06/00                        ;10/06/00  ;2000-06-10 00:00
89,8;62,2              ;76,38           ;16/06/00                        ;16/06/00  ;2000-06-16 00:00
62,2;46,5              ;53,01           ;17/06/00                        ;17/06/00  ;2000-06-17 00:00
44,8;35,4              ;38,69           ;18/06/00                        ;18/06/00  ;2000-06-18 00:00
35,4;31,5              ;32,65           ;19/06/00                        ;19/06/00  ;2000-06-19 00:00
31,5;28,9              ;30,42           ;20/06/00                        ;20/06/00  ;2000-06-20 00:00
30,2;26,3              ;28,43           ;21/06/00                        ;21/06/00  ;2000-06-21 00:00
28,9;26,3              ;27,76           ;22/06/00                        ;22/06/00  ;2000-06-22 00:00
35,4;28,9              ;32,87           ;23/06/00                        ;23/06/00  ;2000-06-23 00:00
38  ;32,8              ;35,62           ;24/06/00                        ;24/06/00  ;2000-06-24 00:00
38  ;31,5              ;34,9            ;25/06/00                        ;25/06/00  ;2000-06-25 00:00
46,5;38                ;42,85           ;26/06/00                        ;26/06/00  ;2000-06-26 00:00
46,5;41,4              ;42,98           ;27/06/00                        ;27/06/00  ;2000-06-27 00:00
46,5;38                ;42,2            ;28/06/00                        ;28/06/00  ;2000-06-28 00:00
46,5;38                ;42,6            ;29/06/00                        ;29/06/00  ;2000-06-29 00:00
43,1;35,4              ;39,36           ;30/06/00                        ;30/06/00  ;2000-06-30 00:00
    ;                  ;                ;                                ;          ;2000-07-01 00:00
    ;                  ;                ;                                ;          ;2000-07-02 00:00
    ;                  ;                ;                                ;          ;2000-07-03 00:00
    ;                  ;                ;                                ;          ;2000-07-04 00:00
    ;                  ;                ;                                ;          ;2000-07-05 00:00
    ;                  ;                ;                                ;          ;2000-07-06 00:00
    ;                  ;                ;                                ;          ;2000-07-07 00:00
    ;                  ;                ;                                ;          ;2000-07-08 00:00
    ;                  ;                ;                                ;          ;2000-07-09 00:00
    ;                  ;                ;                                ;          ;2000-07-10 00:00
    ;                  ;                ;                                ;          ;2000-07-11 00:00
    ;                  ;                ;                                ;          ;2000-07-12 00:00
    ;                  ;                ;                                ;          ;2000-07-13 00:00
    ;                  ;                ;                                ;          ;2000-07-14 00:00
    ;                  ;                ;                                ;          ;2000-07-15 00:00
    ;                  ;                ;                                ;          ;2000-07-16 00:00
96,2;46,5              ;64,99           ;17/07/00                        ;17/07/00  ;2000-07-17 00:00
89,8;67,6              ;78,93           ;19/07/00                        ;19/07/00  ;2000-07-19 00:00
67,6;56,8              ;63,44           ;20/07/00                        ;21/07/00  ;2000-07-20 00:00
58,6;38                ;48,78           ;21/07/00                        ;21/07/00  ;2000-07-21 00:00
41,4;36,7              ;39,19           ;22/07/00                        ;22/07/00  ;2000-07-22 00:00
39,7;36,7              ;37,83           ;23/07/00                        ;23/07/00  ;2000-07-23 00:00
41,4;36,7              ;39,34           ;24/07/00                        ;24/07/00  ;2000-07-24 00:00
38  ;32,8              ;35,44           ;25/07/00                        ;25/07/00  ;2000-07-25 00:00
39,7;32,8              ;36,84           ;26/07/00                        ;26/07/00  ;2000-07-26 00:00
62,2;39,7              ;53,95           ;27/07/00                        ;27/07/00  ;2000-07-27 00:00
67,6;53,3              ;61,94           ;28/07/00                        ;28/07/00  ;2000-07-28 00:00
53,3;51,6              ;52,77           ;29/07/00                        ;29/07/00  ;2000-07-29 00:00
51,6;44,8              ;48,34           ;30/07/00                        ;30/07/00  ;2000-07-30 00:00
48,2;44,8              ;46,69           ;31/07/00                        ;31/07/00  ;2000-07-31 00:00
48,2;38                ;44,43           ;01/08/00                        ;01/08/00  ;2000-08-01 00:00
39,7;35,4              ;37,9            ;02/08/00                        ;02/08/00  ;2000-08-02 00:00
35,4;31,5              ;33,77           ;03/08/00                        ;03/08/00  ;2000-08-03 00:00
34,1;31,5              ;32,11           ;04/08/00                        ;04/08/00  ;2000-08-04 00:00
34,1;31,5              ;32,88           ;05/08/00                        ;05/08/00  ;2000-08-05 00:00
41,4;34,1              ;37,89           ;06/08/00                        ;06/08/00  ;2000-08-06 00:00
43,1;38                ;40,62           ;07/08/00                        ;07/08/00  ;2000-08-07 00:00
51,6;36,7              ;46,32           ;08/08/00                        ;08/08/00  ;2000-08-08 00:00
49,9;48,2              ;49,33           ;09/08/00                        ;09/08/00  ;2000-08-09 00:00
49,9;44,8              ;47,4            ;10/08/00                        ;10/08/00  ;2000-08-10 00:00
46,5;39,7              ;43,86           ;11/08/00                        ;11/08/00  ;2000-08-11 00:00
51,6;39,7              ;43,33           ;12/08/00                        ;12/08/00  ;2000-08-12 00:00
77,2;51,6              ;65,08           ;13/08/00                        ;13/08/00  ;2000-08-13 00:00
98,4;75,1              ;89,71           ;14/08/00                        ;14/08/00  ;2000-08-14 00:00
89,8;64                ;77,81           ;16/08/00                        ;16/08/00  ;2000-08-16 00:00
73  ;64                ;68,67           ;17/08/00                        ;17/08/00  ;2000-08-17 00:00
64  ;58,6              ;61,43           ;18/08/00                        ;18/08/00  ;2000-08-18 00:00
