VALOR_MAX;VALOR_MIN         ;VALOR_MED       ;FECHA_MAX                       ;FECHA_MIN ;FECHA         
    ;                  ;                ;                                ;          ;2004-11-07 00:00
    ;                  ;                ;                                ;          ;2004-11-08 00:00
    ;                  ;                ;                                ;          ;2004-11-09 00:00
    ;                  ;                ;                                ;          ;2004-11-10 00:00
    ;                  ;                ;                                ;          ;2004-11-11 00:00
    ;                  ;                ;                                ;          ;2004-11-12 00:00
    ;                  ;                ;                                ;          ;2004-11-13 00:00
    ;                  ;                ;                                ;          ;2004-11-14 00:00
    ;                  ;                ;                                ;          ;2004-11-15 00:00
7,7 ;,99               ;1,34            ;16/11/04                        ;16/11/04  ;2004-11-16 00:00
1,01;,98               ;1               ;17/11/04                        ;18/11/04  ;2004-11-17 00:00
,98 ;,9                ;,94             ;18/11/04                        ;18/11/04  ;2004-11-18 00:00
,93 ;,9                ;,91             ;19/11/04                        ;20/11/04  ;2004-11-19 00:00
,92 ;,88               ;,91             ;20/11/04                        ;20/11/04  ;2004-11-20 00:00
,93 ;,89               ;,9              ;21/11/04                        ;21/11/04  ;2004-11-21 00:00
,9  ;,87               ;,89             ;22/11/04                        ;23/11/04  ;2004-11-22 00:00
,9  ;,85               ;,87             ;23/11/04                        ;23/11/04  ;2004-11-23 00:00
,88 ;,84               ;,86             ;24/11/04                        ;24/11/04  ;2004-11-24 00:00
,89 ;,8                ;,84             ;25/11/04                        ;25/11/04  ;2004-11-25 00:00
,9  ;,76               ;,84             ;26/11/04                        ;26/11/04  ;2004-11-26 00:00
,87 ;,71               ;,81             ;27/11/04                        ;27/11/04  ;2004-11-27 00:00
,82 ;,78               ;,8              ;28/11/04                        ;28/11/04  ;2004-11-28 00:00
1,75;,78               ;,81             ;29/11/04                        ;29/11/04  ;2004-11-29 00:00
,91 ;,7                ;,79             ;30/11/04                        ;30/11/04  ;2004-11-30 00:00
,84 ;,79               ;,81             ;01/12/04                        ;01/12/04  ;2004-12-01 00:00
,96 ;,82               ;,89             ;02/12/04                        ;02/12/04  ;2004-12-02 00:00
,98 ;,86               ;,92             ;03/12/04                        ;03/12/04  ;2004-12-03 00:00
1,1 ;,95               ;1,02            ;05/12/04                        ;04/12/04  ;2004-12-04 00:00
1,12;1,03              ;1,07            ;05/12/04                        ;05/12/04  ;2004-12-05 00:00
1,05;,97               ;1               ;06/12/04                        ;06/12/04  ;2004-12-06 00:00
1,01;,84               ;,94             ;07/12/04                        ;07/12/04  ;2004-12-07 00:00
,93 ;,91               ;,92             ;08/12/04                        ;09/12/04  ;2004-12-08 00:00
,91 ;,85               ;,89             ;09/12/04                        ;09/12/04  ;2004-12-09 00:00
,9  ;,84               ;,87             ;10/12/04                        ;10/12/04  ;2004-12-10 00:00
,88 ;,85               ;,87             ;11/12/04                        ;12/12/04  ;2004-12-11 00:00
,88 ;,85               ;,87             ;12/12/04                        ;12/12/04  ;2004-12-12 00:00
,88 ;,86               ;,86             ;13/12/04                        ;14/12/04  ;2004-12-13 00:00
,86 ;,82               ;,85             ;14/12/04                        ;14/12/04  ;2004-12-14 00:00
,85 ;,8                ;,83             ;15/12/04                        ;15/12/04  ;2004-12-15 00:00
,83 ;,79               ;,81             ;16/12/04                        ;16/12/04  ;2004-12-16 00:00
,82 ;,77               ;,8              ;17/12/04                        ;17/12/04  ;2004-12-17 00:00
,84 ;,77               ;,81             ;18/12/04                        ;18/12/04  ;2004-12-18 00:00
1,25;,83               ;1,05            ;20/12/04                        ;19/12/04  ;2004-12-19 00:00
