VALOR_MAX;VALOR_MIN         ;VALOR_MED       ;FECHA_MAX                       ;FECHA_MIN ;FECHA         
33,83;27,98             ;30,17           ;01/01/00                        ;01/01/00  ;2000-01-01 00:00
27,98;26,31             ;27              ;02/01/00                        ;02/01/00  ;2000-01-02 00:00
26,31;25,48             ;25,56           ;03/01/00                        ;03/01/00  ;2000-01-03 00:00
24,64;22,97             ;23,41           ;04/01/00                        ;04/01/00  ;2000-01-04 00:00
22,97;22,14             ;22,42           ;05/01/00                        ;05/01/00  ;2000-01-05 00:00
22,97;20,17             ;21,08           ;06/01/00                        ;06/01/00  ;2000-01-06 00:00
20,17;20,17             ;20,17           ;07/01/00                        ;07/01/00  ;2000-01-07 00:00
20,17;19,6              ;20,03           ;08/01/00                        ;08/01/00  ;2000-01-08 00:00
    ;                  ;                ;                                ;          ;2000-01-09 00:00
20,17;17,34             ;18,23           ;10/01/00                        ;10/01/00  ;2000-01-10 00:00
20,17;16,22             ;18,3            ;11/01/00                        ;11/01/00  ;2000-01-11 00:00
17,34;15,65             ;16,79           ;12/01/00                        ;12/01/00  ;2000-01-12 00:00
16,78;15,65             ;16,39           ;13/01/00                        ;13/01/00  ;2000-01-13 00:00
18,48;15,65             ;16,67           ;14/01/00                        ;14/01/00  ;2000-01-14 00:00
    ;                  ;                ;                                ;          ;2000-01-15 00:00
15,65;14,52             ;14,86           ;16/01/00                        ;16/01/00  ;2000-01-16 00:00
16,64;13,95             ;14,13           ;18/01/00                        ;17/01/00  ;2000-01-17 00:00
17,34;13,95             ;15,81           ;18/01/00                        ;18/01/00  ;2000-01-18 00:00
17,34;13,95             ;15,92           ;19/01/00                        ;19/01/00  ;2000-01-19 00:00
16,78;13,39             ;15,13           ;20/01/00                        ;20/01/00  ;2000-01-20 00:00
16,22;12,82             ;15,2            ;21/01/00                        ;21/01/00  ;2000-01-21 00:00
15,65;12,82             ;14,58           ;22/01/00                        ;22/01/00  ;2000-01-22 00:00
15,09;12,82             ;13,67           ;23/01/00                        ;23/01/00  ;2000-01-23 00:00
13,53;12,26             ;12,48           ;25/01/00                        ;24/01/00  ;2000-01-24 00:00
15,09;11,69             ;13,29           ;25/01/00                        ;25/01/00  ;2000-01-25 00:00
15,09;11,69             ;13,82           ;26/01/00                        ;26/01/00  ;2000-01-26 00:00
16,22;12,26             ;14,55           ;27/01/00                        ;27/01/00  ;2000-01-27 00:00
15,09;11,69             ;13,84           ;28/01/00                        ;28/01/00  ;2000-01-28 00:00
14,52;11,69             ;13,63           ;29/01/00                        ;29/01/00  ;2000-01-29 00:00
13,95;11,69             ;12,83           ;30/01/00                        ;30/01/00  ;2000-01-30 00:00
    ;                  ;                ;                                ;          ;2000-01-31 00:00
    ;                  ;                ;                                ;          ;2000-02-01 00:00
    ;                  ;                ;                                ;          ;2000-02-02 00:00
    ;                  ;                ;                                ;          ;2000-02-03 00:00
    ;                  ;                ;                                ;          ;2000-02-04 00:00
    ;                  ;                ;                                ;          ;2000-02-05 00:00
    ;                  ;                ;                                ;          ;2000-02-06 00:00
    ;                  ;                ;                                ;          ;2000-02-07 00:00
    ;                  ;                ;                                ;          ;2000-02-08 00:00
    ;                  ;                ;                                ;          ;2000-02-09 00:00
    ;                  ;                ;                                ;          ;2000-02-10 00:00
    ;                  ;                ;                                ;          ;2000-02-11 00:00
    ;                  ;                ;                                ;          ;2000-02-12 00:00
    ;                  ;                ;                                ;          ;2000-02-13 00:00
    ;                  ;                ;                                ;          ;2000-02-14 00:00
    ;                  ;                ;                                ;          ;2000-02-15 00:00
    ;                  ;                ;                                ;          ;2000-02-16 00:00
    ;                  ;                ;                                ;          ;2000-02-17 00:00
    ;                  ;                ;                                ;          ;2000-02-18 00:00
    ;                  ;                ;                                ;          ;2000-02-19 00:00
    ;                  ;                ;                                ;          ;2000-02-20 00:00
    ;                  ;                ;                                ;          ;2000-02-21 00:00
    ;                  ;                ;                                ;          ;2000-02-22 00:00
    ;                  ;                ;                                ;          ;2000-02-23 00:00
    ;                  ;                ;                                ;          ;2000-02-24 00:00
    ;                  ;                ;                                ;          ;2000-02-25 00:00
    ;                  ;                ;                                ;          ;2000-02-26 00:00
    ;                  ;                ;                                ;          ;2000-02-27 00:00
    ;                  ;                ;                                ;          ;2000-02-28 00:00
    ;                  ;                ;                                ;          ;2000-02-29 00:00
    ;                  ;                ;                                ;          ;2000-03-01 00:00
    ;                  ;                ;                                ;          ;2000-03-02 00:00
    ;                  ;                ;                                ;          ;2000-03-03 00:00
    ;                  ;                ;                                ;          ;2000-03-04 00:00
    ;                  ;                ;                                ;          ;2000-03-05 00:00
    ;                  ;                ;                                ;          ;2000-03-06 00:00
    ;                  ;                ;                                ;          ;2000-03-07 00:00
    ;                  ;                ;                                ;          ;2000-03-08 00:00
    ;                  ;                ;                                ;          ;2000-03-09 00:00
    ;                  ;                ;                                ;          ;2000-03-10 00:00
    ;                  ;                ;                                ;          ;2000-03-11 00:00
    ;                  ;                ;                                ;          ;2000-03-12 00:00
    ;                  ;                ;                                ;          ;2000-03-13 00:00
    ;                  ;                ;                                ;          ;2000-03-14 00:00
    ;                  ;                ;                                ;          ;2000-03-15 00:00
    ;                  ;                ;                                ;          ;2000-03-16 00:00
    ;                  ;                ;                                ;          ;2000-03-17 00:00
    ;                  ;                ;                                ;          ;2000-03-18 00:00
    ;                  ;                ;                                ;          ;2000-03-19 00:00
    ;                  ;                ;                                ;          ;2000-03-20 00:00
    ;                  ;                ;                                ;          ;2000-03-21 00:00
    ;                  ;                ;                                ;          ;2000-03-22 00:00
    ;                  ;                ;                                ;          ;2000-03-23 00:00
    ;                  ;                ;                                ;          ;2000-03-24 00:00
    ;                  ;                ;                                ;          ;2000-03-25 00:00
    ;                  ;                ;                                ;          ;2000-03-26 00:00
    ;                  ;                ;                                ;          ;2000-03-27 00:00
    ;                  ;                ;                                ;          ;2000-03-28 00:00
    ;                  ;                ;                                ;          ;2000-03-29 00:00
    ;                  ;                ;                                ;          ;2000-03-30 00:00
    ;                  ;                ;                                ;          ;2000-03-31 00:00
    ;                  ;                ;                                ;          ;2000-04-01 00:00
    ;                  ;                ;                                ;          ;2000-04-02 00:00
    ;                  ;                ;                                ;          ;2000-04-03 00:00
    ;                  ;                ;                                ;          ;2000-04-04 00:00
    ;                  ;                ;                                ;          ;2000-04-05 00:00
    ;                  ;                ;                                ;          ;2000-04-06 00:00
29,65;27,15             ;27,75           ;07/04/00                        ;07/04/00  ;2000-04-07 00:00
32,99;28,82             ;30,83           ;08/04/00                        ;08/04/00  ;2000-04-08 00:00
32,15;24,64             ;27,88           ;09/04/00                        ;09/04/00  ;2000-04-09 00:00
70,35;49,9              ;57,94           ;12/04/00                        ;12/04/00  ;2000-04-12 00:00
63,51;49,9              ;56,85           ;13/04/00                        ;13/04/00  ;2000-04-13 00:00
75,48;48,71             ;53,52           ;15/04/00                        ;14/04/00  ;2000-04-14 00:00
85,74;65,22             ;72,77           ;18/04/00                        ;18/04/00  ;2000-04-18 00:00
89,16;60,61             ;70,28           ;19/04/00                        ;20/04/00  ;2000-04-19 00:00
66,93;59,42             ;62,04           ;20/04/00                        ;20/04/00  ;2000-04-20 00:00
82,32;68,64             ;75,75           ;21/04/00                        ;21/04/00  ;2000-04-21 00:00
92,58;60,61             ;73,58           ;24/04/00                        ;25/04/00  ;2000-04-24 00:00
60,61;57,04             ;58,87           ;25/04/00                        ;25/04/00  ;2000-04-25 00:00
75,48;61,8              ;70,44           ;26/04/00                        ;26/04/00  ;2000-04-26 00:00
80,61;58,23             ;68,93           ;29/04/00                        ;29/04/00  ;2000-04-29 00:00
58,23;48,71             ;53,1            ;30/04/00                        ;30/04/00  ;2000-04-30 00:00
48,71;45,14             ;47,48           ;01/05/00                        ;01/05/00  ;2000-05-01 00:00
53,47;43,95             ;47,92           ;03/05/00                        ;02/05/00  ;2000-05-02 00:00
53,47;46,33             ;50,4            ;03/05/00                        ;03/05/00  ;2000-05-03 00:00
60,61;48,71             ;56,8            ;04/05/00                        ;04/05/00  ;2000-05-04 00:00
