VALOR_MAX;VALOR_MIN         ;VALOR_MED       ;FECHA_MAX                       ;FECHA_MIN ;FECHA         
13,3;10,5              ;11,89           ;18/09/09                        ;18/09/09  ;2009-09-18 00:00
11  ;1,8               ;6,99            ;06/11/12                        ;07/11/12  ;2012-11-06 00:00
11,7;-1,8              ;5,1             ;07/11/12                        ;07/11/12  ;2012-11-07 00:00
13,5;7,5               ;10,35           ;08/11/12                        ;08/11/12  ;2012-11-08 00:00
15,3;10,9              ;12,82           ;09/11/12                        ;09/11/12  ;2012-11-09 00:00
14,6;7,3               ;11,15           ;10/11/12                        ;11/11/12  ;2012-11-10 00:00
11,1;4,2               ;7,49            ;11/11/12                        ;11/11/12  ;2012-11-11 00:00
12,3;,6                ;6,22            ;12/11/12                        ;13/11/12  ;2012-11-12 00:00
13,9;-,4               ;5,85            ;13/11/12                        ;13/11/12  ;2012-11-13 00:00
18,1;4,6               ;10,32           ;14/11/12                        ;14/11/12  ;2012-11-14 00:00
17,8;7,1               ;11,1            ;15/11/12                        ;15/11/12  ;2012-11-15 00:00
16,9;6,4               ;11,1            ;16/11/12                        ;16/11/12  ;2012-11-16 00:00
14,4;10,5              ;12,06           ;17/11/12                        ;17/11/12  ;2012-11-17 00:00
13,2;5,5               ;10,47           ;18/11/12                        ;19/11/12  ;2012-11-18 00:00
13,8;1,6               ;6,28            ;19/11/12                        ;19/11/12  ;2012-11-19 00:00
15,3;2,3               ;7,99            ;20/11/12                        ;20/11/12  ;2012-11-20 00:00
12,2;3,1               ;9,47            ;21/11/12                        ;22/11/12  ;2012-11-21 00:00
13,4;2,1               ;7,1             ;22/11/12                        ;22/11/12  ;2012-11-22 00:00
13,3;5,1               ;9,64            ;23/11/12                        ;23/11/12  ;2012-11-23 00:00
12,7;8,7               ;10,68           ;24/11/12                        ;24/11/12  ;2012-11-24 00:00
13,7;7,6               ;10,71           ;25/11/12                        ;25/11/12  ;2012-11-25 00:00
11,1;5,2               ;8,5             ;26/11/12                        ;26/11/12  ;2012-11-26 00:00
7,2 ;2,7               ;4,82            ;27/11/12                        ;27/11/12  ;2012-11-27 00:00
7,1 ;2,7               ;4,5             ;28/11/12                        ;28/11/12  ;2012-11-28 00:00
7,3 ;2,4               ;4,4             ;29/11/12                        ;29/11/12  ;2012-11-29 00:00
6,9 ;0                 ;2,86            ;30/11/12                        ;30/11/12  ;2012-11-30 00:00
7,4 ;-2,1              ;2,48            ;01/12/12                        ;01/12/12  ;2012-12-01 00:00
8,5 ;,4                ;4,76            ;02/12/12                        ;02/12/12  ;2012-12-02 00:00
11,8;1,2               ;6,84            ;03/12/12                        ;03/12/12  ;2012-12-03 00:00
8   ;1,6               ;5,39            ;04/12/12                        ;04/12/12  ;2012-12-04 00:00
6,2 ;2,7               ;4,11            ;05/12/12                        ;05/12/12  ;2012-12-05 00:00
8,8 ;,3                ;4,14            ;06/12/12                        ;06/12/12  ;2012-12-06 00:00
10,5;1,4               ;5,9             ;07/12/12                        ;07/12/12  ;2012-12-07 00:00
8,1 ;2,7               ;5,14            ;08/12/12                        ;08/12/12  ;2012-12-08 00:00
9,2 ;-1,4              ;3,04            ;09/12/12                        ;09/12/12  ;2012-12-09 00:00
8,9 ;-4,2              ;2,39            ;10/12/12                        ;10/12/12  ;2012-12-10 00:00
9,2 ;-2,8              ;2,01            ;11/12/12                        ;12/12/12  ;2012-12-11 00:00
5,9 ;-3,5              ;1,85            ;12/12/12                        ;12/12/12  ;2012-12-12 00:00
5,8 ;3,7               ;4,84            ;14/12/12                        ;13/12/12  ;2012-12-13 00:00
8,3 ;5,7               ;6,99            ;14/12/12                        ;14/12/12  ;2012-12-14 00:00
13,9;5,6               ;8,65            ;15/12/12                        ;16/12/12  ;2012-12-15 00:00
13  ;3,6               ;7,73            ;16/12/12                        ;16/12/12  ;2012-12-16 00:00
11,7;2,5               ;6,94            ;17/12/12                        ;18/12/12  ;2012-12-17 00:00
12  ;,3                ;5,55            ;18/12/12                        ;18/12/12  ;2012-12-18 00:00
12  ;5,9               ;8,67            ;19/12/12                        ;19/12/12  ;2012-12-19 00:00
11,6;8                 ;9,57            ;20/12/12                        ;20/12/12  ;2012-12-20 00:00
14  ;6,4               ;9,32            ;21/12/12                        ;21/12/12  ;2012-12-21 00:00
15,7;3,8               ;8,28            ;22/12/12                        ;22/12/12  ;2012-12-22 00:00
15  ;3                 ;7,02            ;23/12/12                        ;23/12/12  ;2012-12-23 00:00
17,6;4,6               ;10,48           ;24/12/12                        ;24/12/12  ;2012-12-24 00:00
13,3;7,7               ;11,4            ;25/12/12                        ;25/12/12  ;2012-12-25 00:00
10,9;0                 ;6,83            ;26/12/12                        ;26/12/12  ;2012-12-26 00:00
11,6;-1                ;5,05            ;27/12/12                        ;27/12/12  ;2012-12-27 00:00
13,6;1,8               ;6,62            ;28/12/12                        ;28/12/12  ;2012-12-28 00:00
11,4;1,7               ;6,56            ;29/12/12                        ;29/12/12  ;2012-12-29 00:00
10  ;-,5               ;3,67            ;30/12/12                        ;30/12/12  ;2012-12-30 00:00
7,7 ;-1,5              ;3,32            ;31/12/12                        ;31/12/12  ;2012-12-31 00:00
9,2 ;3,7               ;5,91            ;01/01/13                        ;01/01/13  ;2013-01-01 00:00
8,6 ;4,5               ;6,04            ;02/01/13                        ;03/01/13  ;2013-01-02 00:00
10,2;-1,2              ;3,74            ;03/01/13                        ;03/01/13  ;2013-01-03 00:00
11,2;-1,5              ;3,18            ;04/01/13                        ;04/01/13  ;2013-01-04 00:00
17,7;-,3               ;5,34            ;05/01/13                        ;05/01/13  ;2013-01-05 00:00
14,5;-,8               ;4,47            ;06/01/13                        ;06/01/13  ;2013-01-06 00:00
12,9;-,8               ;4,08            ;07/01/13                        ;07/01/13  ;2013-01-07 00:00
10,7;-1,5              ;2,71            ;08/01/13                        ;09/01/13  ;2013-01-08 00:00
8,7 ;-3,9              ;2,23            ;09/01/13                        ;09/01/13  ;2013-01-09 00:00
13,1;5,7               ;8,47            ;10/01/13                        ;10/01/13  ;2013-01-10 00:00
10,8;-,1               ;4,71            ;11/01/13                        ;11/01/13  ;2013-01-11 00:00
10,4;-,4               ;3,9             ;12/01/13                        ;12/01/13  ;2013-01-12 00:00
6,6 ;1,6               ;3,55            ;13/01/13                        ;13/01/13  ;2013-01-13 00:00
5,6 ;1,3               ;2,66            ;14/01/13                        ;15/01/13  ;2013-01-14 00:00
4,7 ;1,1               ;2,94            ;16/01/13                        ;15/01/13  ;2013-01-15 00:00
8,4 ;4,4               ;6,29            ;16/01/13                        ;16/01/13  ;2013-01-16 00:00
7,5 ;2,3               ;4,75            ;17/01/13                        ;17/01/13  ;2013-01-17 00:00
12  ;3,1               ;8,3             ;18/01/13                        ;18/01/13  ;2013-01-18 00:00
10,5;4,6               ;8,1             ;19/01/13                        ;19/01/13  ;2013-01-19 00:00
6,1 ;2,5               ;3,8             ;20/01/13                        ;20/01/13  ;2013-01-20 00:00
6,5 ;-,8               ;3,61            ;21/01/13                        ;21/01/13  ;2013-01-21 00:00
3   ;-1,9              ;,44             ;22/01/13                        ;22/01/13  ;2013-01-22 00:00
3,9 ;-1,6              ;1,05            ;23/01/13                        ;23/01/13  ;2013-01-23 00:00
5   ;,2                ;2,15            ;24/01/13                        ;24/01/13  ;2013-01-24 00:00
